4, 483, 204, 197
4, 480, 204, 197
4, 478, 204, 197
4, 479, 204, 196
4, 483, 204, 196
4, 483, 204, 196
4, 524, 750, 336
4, 664, 2409, 763
4, 684, 2580, 821
4, 1017, 6358, 1815
4, 1288, 9487, 2638
4, 1292, 9436, 2625
4, 1299, 9486, 2643
4, 1281, 9360, 2598
4, 1270, 9218, 2551
4, 1142, 7401, 3262
4, 740, 1368, 5725
4, 746, 1370, 5740
4, 744, 1373, 5756
4, 742, 1376, 5777
4, 741, 1377, 5783
4, 743, 1377, 5782
4, 1562, 4970, 22818
4, 1565, 5003, 22987
4, 1564, 5003, 22985
4, 1565, 5002, 22980
4, 1566, 5000, 22967
4, 1572, 5009, 23015
4, 2119, 1991, 7325
4, 2329, 800, 1146
4, 2331, 800, 1147
4, 2329, 797, 1144
4, 2326, 795, 1142
4, 2321, 794, 1141
4, 6452, 3332, 10125
4, 12743, 7422, 24370
4, 12741, 7454, 24431
4, 12742, 7474, 24476
4, 12751, 7541, 24670
4, 12758, 7565, 24725
4, 15300, 7811, 23490
4, 45109, 9884, 7609
4, 45073, 9793, 7544
4, 45077, 9862, 7629
4, 45104, 10103, 7861
4, 45098, 10080, 7872
4, 45099, 10122, 7936
4, 5526, 1343, 1083
4, 493, 203, 194
4, 491, 203, 195
4, 490, 203, 195
4, 487, 203, 195
4, 491, 203, 195
4, 7411, 6333, 1864
4, 12408, 11009, 3143
4, 12383, 11001, 3140
4, 12380, 11000, 3138
4, 12383, 10998, 3137
4, 12384, 10983, 3132
4, 20571, 11103, 3174
4, 45089, 11557, 3340
4, 45072, 11571, 3346
4, 45067, 11586, 3351
4, 45063, 11598, 3355
4, 45055, 11597, 3355
4, 45052, 11571, 3346
4, 701, 2821, 901
4, 699, 2816, 899
4, 696, 2815, 898
4, 693, 2814, 898
4, 700, 2810, 897
4, 699, 2799, 894
4, 1197, 8585, 2468
4, 1376, 10653, 3032
4, 1375, 10651, 3030
4, 1380, 10661, 3033
4, 1382, 10680, 3038
4, 1377, 10690, 3041
4, 1120, 6813, 4455
4, 761, 1462, 6270
4, 761, 1461, 6267
4, 757, 1461, 6267
4, 754, 1461, 6265
4, 760, 1462, 6271
4, 851, 1854, 8158
4, 1664, 5429, 25321
4, 1662, 5429, 25315
4, 1660, 5429, 25316
4, 1666, 5424, 25294
4, 1663, 5414, 25246
4, 1656, 5410, 25226
4, 2266, 1212, 3240
4, 2322, 816, 1175
4, 2325, 816, 1175
4, 2322, 816, 1176
4, 2314, 815, 1174
4, 2272, 799, 1149
4, 8580, 4862, 15206
4, 12778, 7677, 24993
4, 12772, 7685, 25032
4, 12767, 7682, 25024
4, 12775, 7678, 25010
4, 12768, 7669, 24984
4, 21611, 8335, 20273
4, 45088, 10025, 7732
4, 45078, 10031, 7742
4, 45079, 10051, 7794
4, 45071, 10067, 7824
4, 45068, 10066, 7856
4, 45066, 10082, 7898
4, 491, 203, 194
4, 493, 203, 194
4, 488, 203, 194
4, 486, 202, 194
4, 491, 203, 194
4, 491, 203, 194
4, 9770, 8413, 2428
4, 12399, 10926, 3116
4, 12366, 10927, 3116
4, 12374, 10940, 3119
4, 12370, 10953, 3122
4, 12368, 10960, 3124
4, 27032, 11211, 3214
4, 45063, 11553, 3341
4, 45045, 11544, 3339
4, 45036, 11525, 3333
4, 45033, 11522, 3332
4, 45032, 11519, 3332
4, 39283, 10426, 3028
4, 703, 2802, 898
4, 697, 2810, 900
4, 701, 2827, 906
4, 710, 2829, 909
4, 710, 2832, 911
4, 712, 2836, 913
4, 1352, 10225, 2925
4, 1396, 10709, 3060
4, 1401, 10706, 3059
4, 1396, 10705, 3058
